,index,STATION_ID,STATION,BEGIN_DATE,END_DATE,STATE,COUNTRY,LATITUDE,LONGITUDE,ELEVATION,LAT_SCALED,LON_SCALED,TUPLES
58,64,WBAN:04864,"ANTIGO LANGLADE CO AIRPORT, WI US",2005-12-31,2018-08-18,Wisconsin,United States,45.15417,-89.11055999999998,463.9,3,24,"(24, 3)"
59,65,WBAN:12832,"APALACHICOLA AIRPORT, FL US",1944-12-31,2018-08-18,Florida,United States,29.73333,-85.03332999999998,5.8,17,27,"(27, 17)"
82,91,WBAN:93730,"ATLANTIC CITY INTERNATIONAL AIRPORT, NJ US",1946-12-31,2018-08-18,New Jersey,United States,39.452020000000005,-74.56698999999998,18.3,8,35,"(35, 8)"
84,94,WBAN:53932,"ATOKA MUNICIPAL AIRPORT, OK US",2005-12-31,2018-08-18,Oklahoma,United States,34.39833,-96.14806,179.8,12,19,"(19, 12)"
91,102,WBAN:14605,"AUGUSTA STATE AIRPORT, ME US",1972-12-31,2018-08-18,Maine,United States,44.3155,-69.7972,107.0,4,38,"(38, 4)"
94,105,WBAN:94281,"AURORA STATE AIRPORT, OR US",2005-12-31,2018-08-18,Oregon,United States,45.24861,-122.76861000000001,59.7,3,1,"(1, 3)"
102,114,WBAN:54817,"BAD AXE HURON CO MEMORIAL AIRPORT, MI US",2005-12-31,2018-08-18,Michigan,United States,43.78028,-82.98555999999998,233.5,4,29,"(29, 4)"
104,116,WBAN:53138,"BAKER 5 W, NV US",2004-05-08,2018-08-17,Nevada,United States,39.0118,-114.209,2016.9,8,7,"(7, 8)"
105,117,WBAN:24130,"BAKER CITY AIRPORT, OR US",1956-12-31,2018-08-18,Oregon,United States,44.8428,-117.8086,1024.4,3,4,"(4, 3)"
107,119,WBAN:23155,"BAKERSFIELD AIRPORT, CA US",1941-09-30,2018-08-18,California,United States,35.43440000000001,-119.0542,149.0,12,3,"(3, 12)"
111,124,WBAN:14606,"BANGOR INTERNATIONAL AIRPORT, ME US",1956-12-31,2018-08-18,Maine,United States,44.7978,-68.8185,45.1,3,39,"(39, 3)"
112,125,WBAN:14616,"BAR HARBOR AIRPORT, ME US",2005-12-31,2018-08-18,Maine,United States,44.45,-68.36667,26.8,4,39,"(39, 4)"
113,126,WBAN:54833,"BARABOO WISCONSIN DELLS AIRPORT, WI US",2005-12-31,2018-08-18,Wisconsin,United States,43.52194,-89.77360999999998,297.5,5,24,"(24, 5)"
124,137,WBAN:24119,"BATTTLE MOUNTAIN 4 SE, NV US",1972-12-31,2018-08-18,Nevada,United States,40.6118,-116.8917,1373.1,7,5,"(5, 7)"
129,142,WBAN:00282,"BEACH AIRPORT, ND US",2014-08-18,2018-08-18,North Dakota,United States,46.925,-103.98200000000001,840.0,2,14,"(14, 2)"
131,144,WBAN:94947,"BEATRICE MUNICIPAL AIRPORT, NE US",2005-12-31,2018-08-18,Nebraska,United States,40.301390000000005,-96.75389,403.6,7,19,"(19, 7)"
140,155,WBAN:00127,"BEEVILLE MUNICIPAL AIRPORT, TX US",2013-12-31,2018-08-18,Texas,United States,28.35,-97.71700000000001,82.3,18,18,"(18, 18)"
148,163,WBAN:00224,"BEND MUNICIPAL AIRPORT, OR US",2012-12-31,2018-08-18,Oregon,United States,44.095,-121.2,1055.2,4,2,"(2, 4)"
149,165,WBAN:54781,"BENNINGTON MORSE STATE AIRPORT, VT US",2005-12-31,2018-08-18,Vermont,United States,42.89139,-73.24694000000001,251.8,5,36,"(36, 5)"
163,179,WBAN:03044,"BIG SPRING MCMAHON WRINKLE AIRPORT, TX US",2005-12-31,2018-08-18,Texas,United States,32.2125,-101.52139,784.3000000000002,14,16,"(16, 14)"
164,180,WBAN:24033,"BILLINGS INTERNATIONAL AIRPORT, MT US",1935-04-30,2018-08-18,Montana,United States,45.8069,-108.5422,1091.5,3,11,"(11, 3)"
166,182,WBAN:04725,"BINGHAMTON GREATER AP, NY US",1956-12-31,2018-08-18,New York,United States,42.2068,-75.98,486.2,6,34,"(34, 6)"
168,185,WBAN:23157,"BISHOP AIRPORT, CA US",1943-01-15,2018-08-18,California,United States,37.3711,-118.35799999999999,1250.3,10,4,"(4, 10)"
169,186,WBAN:24011,"BISMARCK MUNICIPAL AIRPORT, ND US",1936-06-30,2018-08-18,North Dakota,United States,46.7825,-100.7572,503.2,2,16,"(16, 2)"
171,188,WBAN:00286,"BLACK RIVER FALLS AREA AIRPORT, WI US",2013-12-31,2018-08-17,Wisconsin,United States,44.25100000000001,-90.855,255.1,4,23,"(23, 4)"
172,189,WBAN:53881,"BLACKSBURG VIRGINIA TECH AIRPORT, VA US",2005-12-31,2018-08-18,Virginia,United States,37.2075,-80.40778,649.8000000000002,10,31,"(31, 10)"
175,195,WBAN:03036,"BLANDING MUNICIPAL AIRPORT, UT US",2014-07-23,2018-08-18,Utah,United States,37.58278,-109.48306000000001,1787.7,10,10,"(10, 10)"
176,196,WBAN:94793,"BLOCK ISLAND STATE AIRPORT, RI US",1989-12-31,2018-08-18,Rhode Island,United States,41.16806,-71.57777999999998,32.0,7,37,"(37, 7)"
179,199,WBAN:23225,"BLUE CANYON AIRPORT, CA US",1956-12-31,2018-08-18,California,United States,39.2774,-120.7102,1608.1,8,2,"(2, 8)"
181,201,WBAN:03859,"BLUEFIELD MERCER CO AIRPORT, WV US",1999-12-31,2018-08-18,West Virginia,United States,37.2978,-81.20366,870.5,10,30,"(30, 10)"
182,203,WBAN:23158,"BLYTHE ASOS, CA US",1942-06-12,2018-08-18,California,United States,33.6186,-114.7142,120.4,13,6,"(6, 13)"
185,207,WBAN:00263,"BOERNE STAGE FIELD AIRPORT, TX US",2014-07-30,2018-08-18,Texas,United States,29.724,-98.695,422.1,17,18,"(18, 17)"
186,208,WBAN:24131,"BOISE AIR TERMINAL, ID US",1930-12-31,2018-08-18,Idaho,United States,43.5666,-116.2405,857.7,5,5,"(5, 5)"
187,209,WBAN:63871,"BONIFAY TRI CO AIRPORT, FL US",2006-08-31,2018-08-18,Florida,United States,30.84583,-85.60139000000001,25.9,16,27,"(27, 16)"
193,215,WBAN:14739,"BOSTON, MA US",1943-11-20,2018-08-18,Massachusetts,United States,42.36060000000001,-71.00970000000002,3.7,6,37,"(37, 6)"
196,219,WBAN:00310,"BOUNDARY CO AIRPORT, ID US",2013-12-31,2018-08-18,Idaho,United States,48.726000000000006,-116.295,711.1,0,5,"(5, 0)"
198,223,WBAN:93808,"BOWLING GREEN WARREN CO AIRPORT, KY US",1972-12-31,2018-08-18,Kentucky,United States,36.9647,-86.4238,160.9,10,26,"(26, 10)"
199,224,WBAN:00353,"BOYSEN THERMOPOL, WY US",2012-12-31,2018-08-18,Wyoming,United States,43.467,-108.389,2225.0,5,11,"(11, 5)"
200,225,WBAN:24132,"BOZEMAN GALLATIN FIELD AIRPORT, MT US",1972-12-31,2018-08-18,Montana,United States,45.788,-111.1608,1349.3,3,9,"(9, 3)"
205,230,WBAN:00451,"BRANSON WEST MUNICIPAL EMERSON FIELD AIRPORT, MO US",2014-07-30,2018-08-18,Missouri,United States,36.6985,-93.4022,411.2,10,21,"(21, 10)"
207,232,WBAN:00435,BRAZOS 451 OILP,2013-07-16,2018-08-18,,,28.5,-95.716,34.1,18,20,"(20, 18)"
211,237,WBAN:00433,"BRIDGEPORT SONORA JUNCTION, CA US",2013-01-09,2018-08-18,California,United States,38.3557,-119.51899999999999,2057.1,9,3,"(3, 9)"
213,239,WBAN:24180,"BRIGHAM CITY AIRPORT, UT US",2014-07-23,2018-08-18,Utah,United States,41.55222,-112.06222,1288.1,6,8,"(8, 6)"
215,241,WBAN:94946,"BROKEN BOW MUNICIPAL AIRPORT, NE US",2005-12-31,2018-08-18,Nebraska,United States,41.43333,-99.63333,771.1,6,17,"(17, 6)"
218,245,WBAN:94902,"BROOKINGS, SD US",2005-12-31,2018-08-18,South Dakota,United States,44.3,-96.8,502.3,4,19,"(19, 4)"
222,250,WBAN:03721,"BRUNSWICK CO AIRPORT, NC US",2005-12-31,2018-08-18,North Carolina,United States,33.92917,-78.07472,7.6,13,32,"(32, 13)"
225,254,WBAN:23159,"BRYCE CANYON AIRPORT, UT US",1956-12-31,2018-08-18,Utah,United States,37.70639,-112.14556,2312.2000000000007,10,8,"(8, 10)"
228,259,WBAN:94037,"BUFFALO ASOS, SD US",1998-12-31,2018-08-18,South Dakota,United States,45.604440000000004,-103.54639,915.6,3,14,"(14, 3)"
229,260,WBAN:94054,"BUFFALO JOHNSON CO AIRPORT, WY US",2005-12-31,2018-08-18,Wyoming,United States,44.38139,-106.72111000000001,1513.9,4,12,"(12, 4)"
232,263,WBAN:03068,"BULLSEYE AUXILIARY AIRFIELD USAFA, CO US",2006-04-30,2018-08-18,Colorado,United States,38.76667,-104.3,1837.9,9,14,"(14, 9)"
238,269,WBAN:04866,"BURLINGTON MUNICIPAL AIRPORT, WI US",2005-12-31,2018-08-18,Wisconsin,United States,42.69,-88.30360999999998,237.4,5,25,"(25, 5)"
239,270,WBAN:94282,"BURLINGTON SKAGIT REGIONAL BAYVIEW AIRPORT, WA US",2005-12-31,2018-08-18,Washington,United States,48.46667,-122.41667,42.7,0,1,"(1, 0)"
240,271,WBAN:14742,"BURLINGTON WEATHER SERVICE OFFICE AIRPORT, VT US",1947-12-31,2018-08-18,Vermont,United States,44.4683,-73.1499,100.6,4,36,"(36, 4)"
246,277,WBAN:14817,"CADILLAC WEXFORD CO AIRPORT, MI US",1990-07-23,2018-08-18,Michigan,United States,44.28333,-85.41667,397.8,4,27,"(27, 4)"
250,281,WBAN:54743,"CALDWELL ESSEX CO AIRPORT, NJ US",2005-12-31,2018-08-18,New Jersey,United States,40.87639,-74.28305999999998,52.7,7,35,"(35, 7)"
251,282,WBAN:94195,"CALDWELL INDUSTRIAL AIRPORT, ID US",2005-12-31,2018-08-18,Idaho,United States,43.65,-116.63333,740.4,4,5,"(5, 4)"
254,285,WBAN:12986,"CALHOUN CO AIRPORT, TX US",2005-12-31,2018-08-18,Texas,United States,28.65417,-96.68139000000001,9.1,17,19,"(19, 17)"
255,287,WBAN:23136,"CAMARILLO AIRPORT, CA US",1956-12-31,2018-08-18,California,United States,34.21667,-119.08333,23.5,13,3,"(3, 13)"
265,300,WBAN:54923,"CANBY MYERS FIELD AIRPORT, MN US",2006-10-17,2018-08-18,Minnesota,United States,44.729440000000004,-96.26611,363.6,3,19,"(19, 3)"
266,301,WBAN:00285,"CANDO MUNICIPAL AIRPORT, ND US",2013-12-31,2018-08-18,North Dakota,United States,48.48,-99.236,450.2,0,17,"(17, 0)"
269,305,WBAN:93729,"CAPE HATTERAS BILLY MITCHELL FIELD, NC US",1957-02-28,2018-08-18,North Carolina,United States,35.23260000000001,-75.6219,3.4,12,34,"(34, 12)"
270,306,WBAN:93810,"CARBONDALE SOUTHERN ILLINOIS AIRPORT, IL US",2005-12-31,2018-08-18,Illinois,United States,37.779720000000005,-89.24972,123.7,10,24,"(24, 10)"
273,309,WBAN:03177,"CARLSBAD MCCLELLAN PALOMAR AIRPORT, CA US",2005-12-31,2018-08-18,California,United States,33.12806,-117.27944,100.0,14,4,"(4, 14)"
280,317,WBAN:03914,"CASA GRANDE MUNICIPAL AIRPORT, AZ US",2005-12-31,2018-08-18,Arizona,United States,32.95,-111.76666999999999,445.6,14,8,"(8, 14)"
281,319,WBAN:24089,"CASPER NATRONA CO AIRPORT, WY US",1939-12-31,2018-08-18,Wyoming,United States,42.89779,-106.47371000000001,1620.9,5,12,"(12, 5)"
284,322,WBAN:00465,"CATTARAUGUS CO OLEAN AIRPORT, NY US",2012-12-31,2018-08-18,New York,United States,42.24122,-78.37136,651.1,6,32,"(32, 6)"
285,323,WBAN:00283,"CAVALIER MUNICIPAL AIRPORT, ND US",2013-12-31,2018-08-18,North Dakota,United States,48.784,-97.632,272.2,0,18,"(18, 0)"
290,330,WBAN:53887,"CENTRALIA MUNICIPAL AIRPORT, IL US",2005-12-31,2018-08-18,Illinois,United States,38.514720000000004,-89.09194000000001,162.8,9,24,"(24, 9)"
291,332,WBAN:24017,"CHADRON MUNICIPAL AIRPORT, NE US",1972-12-31,2018-08-18,Nebraska,United States,42.8374,-103.0981,1004.0,5,15,"(15, 5)"
292,333,WBAN:04114,"CHALLIS AIRPORT, ID US",2001-08-31,2018-08-18,Idaho,United States,44.52278,-114.215,1534.1,4,7,"(7, 4)"
293,335,WBAN:94943,"CHAMBERLAIN MUNICIPAL AIRPORT, SD US",2005-12-31,2018-08-18,South Dakota,United States,43.76667,-99.31833,519.1,4,17,"(17, 4)"
300,344,WBAN:13880,"CHARLESTON INTL. AIRPORT, SC US",1944-12-31,2018-08-18,South Carolina,United States,32.899429999999995,-80.04075,12.2,14,31,"(31, 14)"
301,345,WBAN:13866,"CHARLESTON YEAGER AIRPORT, WV US",1956-12-31,2018-08-18,West Virginia,United States,38.3794,-81.59,277.40000000000003,9,30,"(30, 9)"
317,364,WBAN:00143,"CHEYENNE CO MUNICIPAL AIRPORT, KS US",2012-12-31,2018-08-18,Kansas,United States,39.766999999999996,-101.8,1040.3,8,15,"(15, 8)"
327,374,WBAN:93203,"CHICO ARMY FLYING SCHOOL, CA US",2005-12-31,2018-08-18,California,United States,39.8,-121.85,82.9,8,1,"(1, 8)"
330,377,WBAN:13301,"CHILLICOTHE 22 ENE, MO US",2005-06-10,2018-08-16,Missouri,United States,39.86680000000001,-93.147,253.9,8,22,"(22, 8)"
331,378,WBAN:53916,"CHILLICOTHE AGRI SCIENCE CENTER, MO US",2005-12-31,2018-08-18,Missouri,United States,39.82333,-93.57917,234.4,8,21,"(21, 8)"
332,379,WBAN:93104,"CHINA LAKE NAF, CA US",1956-12-31,2018-08-18,California,United States,35.6875,-117.6931,679.7,11,4,"(4, 11)"
345,395,WBAN:94605,"CLAYTON LAKE RAMOS, ME US",2005-12-31,2018-08-18,Maine,United States,46.61667,-69.53332999999999,304.8,2,38,"(38, 2)"
346,396,WBAN:23051,"CLAYTON MUNICIPAL AIR PARK, NM US",1956-12-31,2018-08-18,New Mexico,United States,36.4486,-103.1539,1511.8,11,14,"(14, 11)"
348,398,WBAN:92828,"CLEARWATER AIR PARK, FL US",2018-06-30,2018-08-18,Florida,United States,27.977214,-82.759057,21.6,18,29,"(29, 18)"
354,404,WBAN:14820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",1956-12-31,2018-08-18,Ohio,United States,41.4057,-81.852,238.0,6,30,"(30, 6)"
357,407,WBAN:03027,"CLINES CORNERS, NM US",2005-12-31,2018-08-18,New Mexico,United States,35.00278,-105.66278,2159.8,12,13,"(13, 12)"
358,408,WBAN:00222,"CLINTON MEMORIAL AIRPORT, MO US",2013-12-31,2018-08-18,Missouri,United States,38.35,-93.68299999999999,251.2,9,21,"(21, 9)"
365,417,WBAN:23008,"CLOVIS CANNON AFB, NM US",1943-01-24,2018-08-18,New Mexico,United States,34.38333,-103.31667,1309.1,13,14,"(14, 13)"
368,420,WBAN:12867,"COCOA BEACH PATRICK AFB, FL US",1945-02-28,2018-08-18,Florida,United States,28.23333,-80.60000000000002,2.4,18,30,"(30, 18)"
369,421,WBAN:24045,"CODY MUNICIPAL AIRPORT, WY US",2005-12-31,2018-08-18,Wyoming,United States,44.51667,-109.01666999999999,1552.0,4,10,"(10, 4)"
370,422,WBAN:24136,"COEUR D ALENE AIR TERMINAL, ID US",2005-12-31,2018-08-18,Idaho,United States,47.76667,-116.81667,703.2,1,5,"(5, 1)"
374,426,WBAN:00276,"COLEMAN MUNICIPAL AIRPORT, TX US",2012-12-31,2018-08-18,Texas,United States,31.840999999999998,-99.404,517.2,15,17,"(17, 15)"
377,429,WBAN:53129,"COLORADO CITY MUNICIPAL AIRPORT, AZ US",2014-02-26,2018-08-18,Arizona,United States,36.959720000000004,-113.01388999999999,1485.6,10,7,"(7, 10)"
380,433,WBAN:00206,"COLUMBIA AIRPORT, CA US",2013-12-31,2018-08-18,California,United States,38.033,-120.417,646.2,9,2,"(2, 9)"
383,436,WBAN:03945,"COLUMBIA REGIONAL AIRPORT, MO US",1969-10-31,2018-08-18,Missouri,United States,38.8169,-92.2183,272.2,9,22,"(22, 9)"
385,438,WBAN:13803,"COLUMBUS BAKALAR MUNICIPAL AIRPORT, IN US",1956-12-31,2018-08-18,Indiana,United States,39.26667,-85.9,199.9,8,27,"(27, 8)"
389,442,WBAN:13812,"COLUMBUS RICKENBACKER, OH US",1942-07-31,2018-08-18,Ohio,United States,39.81667,-82.93333,226.8,8,29,"(29, 8)"
395,448,WBAN:13984,"CONCORDIA ASOS, KS US",1962-05-31,2018-08-18,Kansas,United States,39.5514,-97.6508,447.8,8,18,"(18, 8)"
397,451,WBAN:94057,"CONVERSE CO AIRPORT ASOS, WY US",2005-12-31,2018-08-18,Wyoming,United States,42.79611,-105.38028,1504.5,5,13,"(13, 5)"
400,455,WBAN:00327,"COOPERSTOWN MUNICIPAL AIRPORT, ND US",2015-09-25,2018-08-18,North Dakota,United States,47.423,-98.106,434.0,1,18,"(18, 1)"
401,456,WBAN:04141,"COOS BAY 8 SW, OR US",2008-08-18,2018-08-16,Oregon,United States,43.2718,-124.3186,3.7,5,0,"(0, 5)"
403,458,WBAN:00234,"CORNING MUNICIPAL AIRPORT, AR US",2014-07-31,2018-08-18,Arkansas,United States,36.4,-90.65,89.0,11,23,"(23, 11)"
412,468,WBAN:04908,"COUNCIL BLUFFS MUNICIPAL AIRPORT, IA US",2005-12-31,2018-08-18,Iowa,United States,41.259440000000005,-95.75972,381.9,7,20,"(20, 7)"
414,475,WBAN:94977,"CRANE LAKE, MN US",2005-12-31,2018-08-18,Minnesota,United States,48.26667,-92.48333000000001,341.1,0,22,"(22, 0)"
415,476,WBAN:24286,"CRESCENT CITY MCNAMARA AIRPORT, CA US",1972-12-31,2018-08-18,California,United States,41.78028,-124.23666999999999,17.1,6,0,"(0, 6)"
416,477,WBAN:04915,"CRESTON MUNICIPAL AIRPORT, IA US",2005-12-31,2018-08-18,Iowa,United States,41.007220000000004,-94.36306,394.4,7,21,"(21, 7)"
419,480,WBAN:03073,"CROCKETT HOUSTON CO AIRPORT, TX US",2013-12-31,2018-08-18,Texas,United States,31.30694,-95.40389,106.1,15,20,"(20, 15)"
421,482,WBAN:00287,"CROSBY MUNICIPAL AIRPORT, ND US",2012-12-31,2018-08-18,North Dakota,United States,48.928999999999995,-103.297,594.1,0,14,"(14, 0)"
423,485,WBAN:03847,"CROSSVILLE MEMORIAL AIRPORT, TN US",1972-12-31,2018-08-18,Tennessee,United States,35.95090000000001,-85.0813,569.1,11,27,"(27, 11)"
425,489,WBAN:63839,"CULLMAN FOLSOM FIELD AIRPORT, AL US",2005-12-31,2018-08-17,Alabama,United States,34.26889,-86.85833000000001,293.5,13,26,"(26, 13)"
427,491,WBAN:93798,"CULPEPER REGIONAL AIRPORT, VA US",2005-12-31,2018-08-18,Virginia,United States,38.52667,-77.85861,96.3,9,32,"(32, 9)"
428,492,WBAN:00316,"CUMBERLAND MUNICIPAL AIRPORT, WI US",2013-12-31,2018-08-18,Wisconsin,United States,45.506,-91.981,378.3,3,22,"(22, 3)"
432,496,WBAN:94032,"CUSTER CO AIRPORT, SD US",2005-12-31,2018-08-18,South Dakota,United States,43.73306,-103.61139,1690.1,4,14,"(14, 4)"
433,497,WBAN:24137,"CUT BANK AIRPORT, MT US",1942-11-30,2018-08-18,Montana,United States,48.6033,-112.3752,1169.8,0,8,"(8, 0)"
434,498,WBAN:23161,"DAGGETT AIRPORT, CA US",1948-12-31,2018-08-18,California,United States,34.8536,-116.7858,584.3000000000002,12,5,"(5, 12)"
441,506,WBAN:24219,"DALLESPORT AIRPORT, WA US",1956-12-31,2018-08-18,Oregon,United States,45.6194,-121.1661,71.60000000000002,3,2,"(2, 3)"
443,508,WBAN:54734,"DANBURY MUNICIPAL AIRPORT, CT US",2005-12-31,2018-08-18,Connecticut,United States,41.371390000000005,-73.48277999999998,139.3,6,35,"(35, 6)"
444,509,WBAN:94704,"DANSVILLE MUNICIPAL AIRPORT, NY US",1972-12-31,2018-08-18,New York,United States,42.57083,-77.71333,208.8,5,32,"(32, 5)"
449,514,WBAN:04223,"DARRINGTON 21 NNE, WA US",2003-04-02,2018-08-16,Washington,United States,48.5405,-121.446,124.1,0,2,"(2, 0)"
452,517,WBAN:23109,"DAVIS MONTHAN AFB, AZ US",1941-07-16,2018-08-18,Arizona,United States,32.16667,-110.88333,824.2,14,9,"(9, 14)"
459,524,WBAN:04871,"DE KALB TAYLOR MUNICIPAL AIRPORT, IL US",2005-12-31,2018-08-18,Illinois,United States,41.931670000000004,-88.70805999999997,278.90000000000003,6,25,"(25, 6)"
460,525,WBAN:53925,"DE QUEEN SEVIER CO AIRPORT, AR US",2003-12-31,2018-08-18,Arkansas,United States,34.05,-94.40083,108.2,13,21,"(21, 13)"
462,527,WBAN:03976,"DE RIDDER BEAUREGARD PARISH AIRPORT, LA US",2005-12-31,2018-08-18,Louisiana,United States,30.83333,-93.33333,62.2,16,21,"(21, 16)"
464,529,WBAN:53964,"DECATUR MUNICIPAL AIRPORT, TX US",2005-12-31,2018-08-18,Texas,United States,33.254439999999995,-97.58056,319.1,13,18,"(18, 13)"
466,531,WBAN:04916,"DECORAH MUNICIPAL AIRPORT, IA US",2005-12-31,2018-08-18,Iowa,United States,43.27528,-91.73917,352.7,5,23,"(23, 5)"
470,535,WBAN:22001,"DEL RIO LAUGHLIN AFB, TX US",1943-02-16,2018-08-18,Texas,United States,29.366670000000003,-100.78333,329.8,17,16,"(16, 17)"
472,537,WBAN:00315,"DELAWARE MUNICIPAL JIM MOORE FIELD AIRPORT, OH US",2012-12-31,2018-08-18,Ohio,United States,40.28,-83.11500000000002,288.0,7,29,"(29, 7)"
473,539,WBAN:23162,"DELTA FAA AIRPORT, UT US",2014-08-19,2018-08-18,Utah,United States,39.38333,-112.51666999999999,1450.5,8,8,"(8, 8)"
474,540,WBAN:23078,"DEMING MUNICIPAL AIRPORT, NM US",2005-12-31,2018-08-18,New Mexico,United States,32.26222,-107.72056,1310.9,14,11,"(11, 14)"
475,541,WBAN:00445,"DEMOPOLIS MUNICIPAL AIRPORT, AL US",2014-07-30,2018-08-18,Alabama,United States,32.46383,-87.95405,34.1,14,25,"(25, 14)"
476,542,WBAN:04139,"DENIO 52 WSW, NV US",2008-06-15,2018-08-16,Nevada,United States,41.84840000000001,-119.6357,1981.2,6,3,"(3, 6)"
481,548,WBAN:14933,"DES MOINES INTERNATIONAL AIRPORT, IA US",1956-12-31,2018-08-18,Iowa,United States,41.5338,-93.65299999999999,291.7,6,21,"(21, 6)"
482,549,WBAN:03104,"DESERT RESORTS REGIONAL AIRPORT, CA US",1943-07-11,2018-08-18,California,United States,33.626670000000004,-116.15943999999999,-36.0,13,5,"(5, 13)"
483,550,WBAN:53853,"DESTIN FORT WALTON BEACH AIRPORT, FL US",2005-12-31,2018-08-18,Florida,United States,30.4,-86.47166999999999,6.7,16,26,"(26, 16)"
492,560,WBAN:24138,"DILLON AIRPORT, MT US",1956-12-31,2018-08-18,Montana,United States,45.2575,-112.5544,1585.0,3,8,"(8, 3)"
493,562,WBAN:00444,"DIXON AIRPORT, WY US",2013-12-31,2018-08-18,Wyoming,United States,41.037440000000004,-107.49252,1996.1,7,11,"(11, 7)"
494,563,WBAN:04978,"DODGE CENTER AIRPORT, MN US",2005-12-31,2018-08-18,Minnesota,United States,44.01778,-92.83139,397.8,4,22,"(22, 4)"
495,564,WBAN:13985,"DODGE CITY REGIONAL AIRPORT, KS US",1943-04-18,2018-08-18,Kansas,United States,37.7686,-99.9678,787.0,10,17,"(17, 10)"
497,567,WBAN:93026,"DOUGLAS BISBEE INL AIRPORT, AZ US",1972-12-31,2018-08-18,Arizona,Mexico,31.4583,-109.6061,1251.2,15,10,"(10, 15)"
499,569,WBAN:13707,"DOVER AFB, DE US",1942-11-30,2018-08-18,Delaware,United States,39.13333,-75.46667,8.5,8,34,"(34, 8)"
500,571,WBAN:54786,"DOYLESTOWN AIRPORT, PA US",2005-12-31,2018-08-18,Pennsylvania,United States,40.33,-75.1225,120.1,7,34,"(34, 7)"
502,574,WBAN:54844,"DRUMMOND ISLAND AIRPORT, MI US",2006-08-30,2018-08-18,Michigan,United States,46.007220000000004,-83.74278000000001,202.7,2,28,"(28, 2)"
505,577,WBAN:04787,"DUBOIS JEFFERSON CO AIRPORT, PA US",1972-12-31,2018-08-18,Pennsylvania,United States,41.17833,-78.89889000000001,552.9,7,32,"(32, 7)"
506,578,WBAN:00443,"DUBOIS MUNICIPAL AIRPORT, WY US",2013-05-13,2018-08-18,Wyoming,United States,43.54836,-109.69025,2224.1,5,10,"(10, 5)"
